Country,Rank,Year,Number of Migrants
United States of America,1,1990,23251026
Russian Federation,2,1990,11524948
India,3,1990,7594801
Ukraine,4,1990,6892920
Pakistan,5,1990,6208204
Germany,6,1990,5936181
France,7,1990,5897267
Saudi Arabia,8,1990,4998445
Canada,9,1990,4333318
Iran,10,1990,4291601
United States of America,1,1995,28451053
Russian Federation,2,1995,11928927
Germany,3,1995,7464406
Ukraine,4,1995,6172338
France,5,1995,6087993
Saudi Arabia,6,1995,5122702
Canada,7,1995,4864778
United Kingdom,8,1995,4155293
Australia,9,1995,4153330
Pakistan,10,1995,3669308
United States of America,1,2000,34814053
Russian Federation,2,2000,11900297
Germany,3,2000,8992631
India,4,2000,6411331
France,5,2000,6278718
Ukraine,6,2000,5527087
Canada,7,2000,5511914
Saudi Arabia,8,2000,5263387
United Kingdom,9,2000,4730165
Australia,10,2000,4386250
United States of America,1,2005,39258293
Russian Federation,2,2005,11667588
Germany,3,2005,9402447
France,4,2005,6737600
Saudi Arabia,5,2005,6501819
India,6,2005,5936740
United Kingdom,7,2005,5926156
Ukraine,8,2005,5050302
Australia,9,2005,4878030
Spain,10,2005,4107226
United States of America,1,2010,44183643
Russian Federation,2,2010,11194710
Germany,3,2010,9812263
Saudi Arabia,4,2010,8429956
United Arab Emirates,5,2010,7316697
France,6,2010,7309986
United Kingdom,7,2010,7119664
Canada,8,2010,6761226
Spain,9,2010,6280062
Australia,10,2010,5882980
United States of America,1,2015,48178877
Russian Federation,2,2015,11643276
Saudi Arabia,3,2015,10771366
Germany,4,2015,10220418
United Kingdom,5,2015,8406996
United Arab Emirates,6,2015,7995126
France,7,2015,7878338
Canada,8,2015,7428657
Australia,9,2015,6729730
Spain,10,2015,5891208
United States of America,1,2020,50632836
Germany,2,2020,15762457
Saudi Arabia,3,2020,13454842
Russian Federation,4,2020,11636911
United Kingdom,5,2020,9359587
United Arab Emirates,6,2020,8716332
France,7,2020,8524876
Canada,8,2020,8049323
Australia,9,2020,7685860
Spain,10,2020,6842202
