stk1,stk2,size
Africa,Africa,81319501
Africa,Asia,1608138
Africa,Americas,1069668
Africa,Europe,435792
Africa,Oceania,92053160
Asia,Africa,6801637
Asia,Asia,41855
Asia,Americas,6522
Asia,Europe,16582
Asia,Oceania,4952322
Americas,Africa,1644110
Americas,Asia,3949
Americas,Americas,0
Americas,Europe,739
Americas,Oceania,573946
Europe,Africa,1401818
Europe,Asia,5160
Europe,Americas,0
Europe,Europe,497
Europe,Oceania,239092
Oceania,Africa,55922397
Oceania,Asia,1225981
Oceania,Americas,14887
Oceania,Europe,287844
Oceania,Oceania,46439364
