Country,Rank,Year,Number of Migrants,url,Url,Number of Migrants
United States of America,1,1990,23251026,data/images/united-states-america.png,https://cdn-icons-png.flaticon.com/512/197/197484.png,23 251 026
Russian Federation,2,1990,11524948,data/images/russia.png,https://cdn-icons-png.flaticon.com/512/4628/4628645.png,11 524 948
India,3,1990,7594801,data/images/india.png,https://cdn-icons-png.flaticon.com/512/197/197419.png,7 594 801
Ukraine,4,1990,6892920,data/images/ukraine.png,https://cdn-icons-png.flaticon.com/512/197/197572.png,6 892 920
Pakistan,5,1990,6208204,data/images/pakistan.png,https://cdn-icons-png.flaticon.com/512/197/197606.png,6 208 204
Germany,6,1990,5936181,data/images/germany.png,https://cdn-icons-png.flaticon.com/512/197/197571.png,5 936 181
France,7,1990,5897267,data/images/france.png,https://cdn-icons-png.flaticon.com/512/197/197560.png,5 897 267
Saudi Arabia,8,1990,4998445,data/images/saudi-arabia.png,https://cdn-icons-png.flaticon.com/512/197/197578.png,4 998 445
Canada,9,1990,4333318,data/images/canada.png,https://cdn-icons-png.flaticon.com/512/197/197430.png,4 333 318
Iran,10,1990,4291601,data/images/iran.png,https://cdn-icons-png.flaticon.com/512/197/197574.png,4 291 601
United States of America,1,1995,28451053,data/images/united-states-america.png,https://cdn-icons-png.flaticon.com/512/197/197484.png,28 451 053
Russian Federation,2,1995,11928927,data/images/russia.png,https://cdn-icons-png.flaticon.com/512/4628/4628645.png,11 928 927
Germany,3,1995,7464406,data/images/germany.png,https://cdn-icons-png.flaticon.com/512/197/197571.png,7 464 406
Ukraine,4,1995,6172338,data/images/ukraine.png,https://cdn-icons-png.flaticon.com/512/197/197572.png,6 172 338
France,5,1995,6087993,data/images/france.png,https://cdn-icons-png.flaticon.com/512/197/197560.png,6 087 993
Saudi Arabia,6,1995,5122702,data/images/saudi-arabia.png,https://cdn-icons-png.flaticon.com/512/197/197578.png,5 122 702
Canada,7,1995,4864778,data/images/canada.png,https://cdn-icons-png.flaticon.com/512/197/197430.png,4 864 778
United Kingdom,8,1995,4155293,data/images/united-kingdom.png,https://cdn-icons-png.flaticon.com/512/197/197374.png,4 155 293
Australia,9,1995,4153330,data/images/australia.png,https://cdn-icons-png.flaticon.com/512/197/197507.png,4 153 330
Pakistan,10,1995,3669308,data/images/pakistan.png,https://cdn-icons-png.flaticon.com/512/197/197606.png,3 669 308
United States of America,1,2000,34814053,data/images/united-states-america.png,https://cdn-icons-png.flaticon.com/512/197/197484.png,34 814 053
