Year,Dead,Region,latitude,longitude,Missing,Total Number
2020,115,Northern Africa,26.02,32.278,13,
2020,145,Eastern Africa,1.9577,37.2972,23,
2020,19,Middle Africa,2.3185,19.5687,0,
2020,0,Southern Africa,24.3571,19.5687,0,
2020,26,Western Africa,13.5317,2.4604,1,
2020,0,Central Asia,45.4507,68.8319,0,
2020,1,Eastern Asia,38.7946,106.5348,1,
2020,27,South-eastern Asia,2.218,115.6628,9,
2020,314,Southern Asia,25.0376,76.4563,7,
2020,109,Western Asia,28.995,49.25,13,
2020,0,Northern Europe,62.2786,12.3402,0,
2020,60,Southern Europe,41.2745,1.2121,1,
2020,11,Western Europe,46.2022,1.2644,3,
2020,9,Eastern Europe,52.0055,37.9587,0,
2020,15,Caribbean,21.4691,78.6569,128,
2020,364,Northern America,54.526,105.2551,4,
2020,0,Southern America,8.7832,55.4915,0,
2020,154,Central America,12.769,85.6024,8,
