Country,Migrants,Population,Migrants per 100k Population,GDP,Continent
Afghanistan,38928,39074280,99.6256361,0,Asia
Albania,2878,2877239,100.026449,16.996,Europe
Algeria,43851,43984569,99.69632759,219.16,Africa
American Samoa,55,55169,99.69366855,219.16,Oceania
Andorra,77,77287,99.62865682,219.16,Europe
Angola,32866,33032075,99.4972311,127.15,Africa
Anguilla,15,15026,99.82696659,127.15,Americas
Antigua and Barbuda,98,98069,99.92964137,1.617,Americas
Argentina,45196,45267449,99.84216252,633.889,Americas
Armenia,2963,2964219,99.95887618,12.939,Asia
Aruba,107,106845,100.14507,12.939,Americas
Australia,25500,25550683,99.8016374,1515.7,Oceania
Austria,9006,9015361,99.89616611,452.657,Europe
Azerbaijan,10139,10154978,99.84265845,87.276,Asia
Bahamas,393,393893,99.77328868,87.276,Americas
Bahrain,1702,1711057,99.47067807,40.522,Asia
Bangladesh,164689,164972348,99.82824516,310.858,Asia
Barbados,287,287437,99.84796668,5.222,Americas
Belarus,9449,9448772,100.002413,89.315,Europe
Belgium,11590,11598451,99.92713682,556.197,Europe
Belize,398,398845,99.78813825,2.207,Americas
Benin,12123,12175480,99.56896977,11.659,Africa
Bermuda,62,62237,99.61919758,11.659,Americas
Bhutan,772,773069,99.86171998,3.798,Asia
Bolivia,11673,11700207,99.76746565,48.626,Asia
Bonaire,26,26265,98.99105273,48.626,Americas
Bosnia and Herzegovina,3281,3277152,100.117419,21.559,Europe
Botswana,2352,2359585,99.67854517,17.456,Africa
Brazil,212559,212821986,99.87642912,2054.41,Americas
British Virgin Islands,30,30266,99.12112602,2054.41,Americas
Brunei,437,438202,99.72569728,2054.41,Asia
Bulgaria,6948,6939018,100.1294419,59.506,Europe
Burkina Faso,20903,20997293,99.55092783,18.003,Africa
Burma,54410,54473253,99.88388246,18.003,Africa
Burundi,11891,11948454,99.51915118,4.489,Africa
Cabo Verde,556,557026,99.81580752,4.489,Africa
Cambodia,16719,16758448,99.76460827,27.089,Asia
Cameroon,26546,26655083,99.59076098,43.247,Africa
Canada,37742,37799407,99.84812725,1958.15,Africa
Cayman Islands,66,65854,100.2217026,0,Americas
Central African Rep.,4830,4843954,99.71192955,0,Americas
Chad,16426,16502877,99.53416001,18.547,Africa
Channel Islands,174,174140,99.91960492,18.547,Africa
Chile,19116,19144605,99.85058454,292.019,Americas
China,1439324,1440297825,99.93238725,17100.06,Asia
"China, Hong Kong SAR",7497,7507523,99.85983393,17100.06,Asia
"China, Macao SAR",649,650846,99.71636916,17100.06,Asia
Taiwan,23817,25798588,92.31900599,0,Asia
Colombia,50883,50976248,99.81707559,421.246,Americas
Comoros,870,872695,99.6911865,0.834,Africa
Congo,5518,5540555,99.59291082,0.834,Africa
Cook Islands,18,17567,102.4648489,50.86,Oceania
Costa Rica,5094,5102158,99.84010687,50.86,Americas
Cote d'Ivoire,26378,26486282,99.59117705,50.86,Americas
Croatia,4105,4100719,100.1043963,61.381,Europe
Cuba,11327,11325391,100.014207,61.381,Americas
Curaçao,164,164211,99.87150678,61.381,Americas
Cyprus,1207,1208886,99.8439886,23.907,Asia
Czechia,10709,10712481,99.96750519,206.851,Europe
North Korea,25779,51276977,50.27402454,594.992,Oceania
Dem. Rep. Congo,89561,90003954,99.50785051,206.851,Europe
Denmark,5792,5795780,99.93478013,369.686,Europe
Djibouti,988,990447,99.75293983,2.854,Africa
Dominica,72,72017,99.97639446,0.646,Americas
Dominican Republic,10848,10866667,99.8282178,85.005,Americas
Ecuador,17643,17688599,99.74221248,116.105,Americas
Egypt,102334,102659126,99.68329557,0,Africa
El Salvador,6486,6491923,99.90876355,31.358,Americas
Equatorial Guinea,1403,1410419,99.4739861,10.856,Africa
Eritrea,3546,3554797,99.75253158,7.584,Africa
Estonia,1327,1326693,100.0231402,31.856,Europe
Eswatini,1160,1162233,99.80786985,31.856,Europe
Ethiopia,114964,115434444,99.59245786,100.324,Africa
Falkland Is.,3,3497,85.78781813,100.324,Africa
Faroe Islands,49,48896,100.2126963,100.324,Europe
Fiji,896,897573,99.82474963,5.739,Oceania
Finland,5541,5542237,99.97768049,281.26,Europe
France,65274,65298930,99.96182173,2940.19,Europe
French Guiana,299,299958,99.68062195,2940.19,Americas
French Polynesia,281,281191,99.93207464,2940.19,Oceania
Gabon,2226,2234448,99.62192004,18.899,Africa
Gambia,2417,2427782,99.55589093,18.899,Africa
Georgia,3989,3987805,100.0299664,20.331,Asia
Germany,83784,83830972,99.9439682,4004.94,Europe
Ghana,31073,31181428,99.65226737,58.288,Africa
Gibraltar,34,33689,100.92315,58.288,Europe
Greece,10423,10413936,100.0870372,234.579,Europe
Greenland,57,56787,100.3750858,234.579,Americas
Grenada,113,112614,100.3427638,1.223,Americas
Guadeloupe,400,400136,99.96601156,1.223,Americas
Guam,169,169031,99.98166017,1.223,Oceania
